Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
27/01/2021,Chandigarh,2355,0,2355,
27/01/2021,Chhattisgarh,51647,0,51647,
27/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665,
27/01/2021,Delhi,39764,0,39764,
27/01/2021,Goa,2311,0,2311,
27/01/2021,Gujarat,94524,0,94524,
27/01/2021,Haryana,109782,0,109782,
27/01/2021,Himachal Pradesh,14054,0,14054,
27/01/2021,Jammu and Kashmir,16331,0,16331,
27/01/2021,Jharkhand,24020,0,24020,
27/01/2021,Karnataka,267811,0,267811,
27/01/2021,Kerala,82970,0,82970,
27/01/2021,Ladakh,818,0,818,
27/01/2021,Lakshadweep,746,0,746,
27/01/2021,Madhya Pradesh,131679,0,131679,
27/01/2021,Maharashtra,179509,0,179509,
27/01/2021,Manipur,2855,0,2855,
27/01/2021,Meghalaya,3249,0,3249,
27/01/2021,Mizoram,6142,0,6142,
27/01/2021,Nagaland,3973,0,3973,
27/01/2021,Odisha,178227,0,178227,
27/01/2021,Puducherry,1813,0,1813,
27/01/2021,Punjab,44708,0,44708,
27/01/2021,Rajasthan,237137,0,237137,
27/01/2021,Sikkim,1320,0,1320,
27/01/2021,Tamil Nadu,82039,0,82039,
27/01/2021,Telangana,130425,0,130425,
27/01/2021,Tripura,19698,0,19698,
27/01/2021,Uttar Pradesh,123761,0,123761,
27/01/2021,Uttarakhand,14690,0,14690,
27/01/2021,West Bengal,158193,0,158193,
27/01/2021,Miscellaneous,46325,0,46325,
27/01/2021,Total,2355979,0,2355979,
28/01/2021,Andaman and Nicobar Islands,2656,0,2656,
28/01/2021,Andhra Pradesh,171683,0,171683,
28/01/2021,Arunachal Pradesh,8656,0,8656,
28/01/2021,Assam,28918,0,28918,
28/01/2021,Bihar,107174,0,107174,
28/01/2021,Chandigarh,2764,0,2764,
28/01/2021,Chhattisgarh,62115,0,62115,
28/01/2021,Dadra and Nagar Haveli and Daman and Diu,779,0,779,
28/01/2021,Delhi,48008,0,48008,
28/01/2021,Goa,2882,0,2882,
28/01/2021,Gujarat,162616,0,162616,
28/01/2021,Haryana,115968,0,115968,
28/01/2021,Himachal Pradesh,18848,0,18848,
28/01/2021,Jammu and Kashmir,22401,0,22401,
28/01/2021,Jharkhand,24315,0,24315,
28/01/2021,Karnataka,286089,0,286089,
28/01/2021,Kerala,106583,0,106583,
28/01/2021,Ladakh,818,0,818,
28/01/2021,Lakshadweep,746,0,746,
28/01/2021,Madhya Pradesh,195187,0,195187,
28/01/2021,Maharashtra,220587,0,220587,
28/01/2021,Manipur,2855,0,2855,
28/01/2021,Meghalaya,3870,0,3870,
28/01/2021,Mizoram,6728,0,6728,
28/01/2021,Nagaland,3973,0,3973,
28/01/2021,Odisha,194058,0,194058,
28/01/2021,Puducherry,1813,0,1813,
28/01/2021,Punjab,50977,0,50977,
28/01/2021,Rajasthan,257833,0,257833,
28/01/2021,Sikkim,1776,0,1776,
28/01/2021,Tamil Nadu,88467,0,88467,
28/01/2021,Telangana,151246,0,151246,
28/01/2021,Tripura,24302,0,24302,
28/01/2021,Uttar Pradesh,294959,0,294959,
28/01/2021,Uttarakhand,19517,0,19517,
28/01/2021,West Bengal,187485,0,187485,
28/01/2021,Miscellaneous,48401,0,48401,
28/01/2021,Total,2928053,0,2928053,
29/01/2021,Andaman and Nicobar Islands,2727,0,2727,
29/01/2021,Andhra Pradesh,179038,0,179038,
29/01/2021,Arunachal Pradesh,9265,0,9265,
29/01/2021,Assam,36932,0,36932,
29/01/2021,Bihar,110396,0,110396,
29/01/2021,Chandigarh,2977,0,2977,
29/01/2021,Chhattisgarh,62529,0,62529,
